Cell Line	Cosmic_ID	Cancer Type	Tissue	MS-HL
LoVo	907790	digestive_system	large_intestine	1
LP-1	907791	blood	Myeloma	0
LS-123	907792	digestive_system	large_intestine	0
LS-411N	907794	digestive_system	large_intestine	1
LS-513	907795	digestive_system	large_intestine	0
LU-99A	907796	lung	lung_NSCLC_large_cell	1
MC116	907799	blood	B_cell_lymphoma	0
MC-IXC	908118	nervous_system	neuroblastoma	1
MDA-MB-134-VI	908119	breast	breast	0
MDA-MB-175-VII	908120	breast	breast	0
MDA-MB-361	908121	breast	breast	0
MDA-MB-453	908122	breast	breast	0
MDA-MB-468	908123	breast	breast	0
MEL-HO	908124	skin	melanoma	0
MEL-JUSO	908125	skin	melanoma	0
MEG-01	908126	blood	chronic_myeloid_leukaemia	0
MES-SA	908127	urogenital_system	uterus	0
Mewo	908128	skin	melanoma	0
MFE-280	908129	urogenital_system	endometrium	0
MFE-296	908130	urogenital_system	endometrium	1
MG-63	908131	bone	osteosarcoma	0
MHH-CALL-2	908132	blood	B_cell_leukemia	0
MHH-ES-1	908134	bone	ewings_sarcoma	0
MHH-NB-11	908135	nervous_system	neuroblastoma	0
MHH-PREB-1	908136	blood	B_cell_leukemia	1
MKN1	908138	digestive_system	stomach	0
MKN28	908139	digestive_system	stomach	0
ML-2	908141	blood	acute_myeloid_leukaemia	0
MLMA	908142	blood	hairy_cell_leukaemia	0
MN-60	908143	blood	B_cell_leukemia	1
MOLT-13	908146	blood	lymphoblastic_T_cell_leukaemia	1
MOLT-16	908147	blood	lymphoblastic_T_cell_leukaemia	1
MONO-MAC-6	908148	blood	acute_myeloid_leukaemia	0
Mo-T	908149	blood	hairy_cell_leukaemia	0
MPP-89	908150	lung	mesothelioma	0
MRK-nu-1	908151	breast	breast	0
MSTO-211H	908152	lung	mesothelioma	0
MV-4-11	908156	blood	leukemia	0
NALM-6	908158	blood	B_cell_leukemia	1
NB69	908440	nervous_system	neuroblastoma	0
NCI-H520	908443	lung	lung_NSCLC_squamous_cell_carcinoma	0
NCI-SNU-1	908444	digestive_system	stomach	1
NCI-SNU-5	908445	digestive_system	stomach	0
NCI-SNU-16	908446	digestive_system	stomach	0
NH-12	908447	nervous_system	neuroblastoma	0
NKM-1	908448	blood	acute_myeloid_leukaemia	0
NMC-G1	908449	nervous_system	glioma	0
no-11	908450	nervous_system	glioma	0
NOMO-1	908451	blood	acute_myeloid_leukaemia	0
no-10	908452	nervous_system	glioma	0
NTERA-S-cl-D1	908454	urogenital_system	testis	0
NUGC-3	908455	digestive_system	stomach	1
NCI-H747	908457	digestive_system	large_intestine	1
NCI-H716	908458	digestive_system	large_intestine	0
NCI-H596	908459	lung	lung_NSCLC_adenocarcinoma	0
NCI-H441	908460	lung	lung_NSCLC_adenocarcinoma	0
NCI-N87	908461	digestive_system	stomach	0
NCI-H2452	908462	lung	mesothelioma	0
NCI-H1793	908463	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1522	908464	lung	lung_small_cell_carcinoma	1
NCI-H358	908465	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1155	908467	lung	lung_NSCLC_large_cell	0
NCI-H1436	908469	lung	lung_small_cell_carcinoma	0
NCI-H28	908470	lung	mesothelioma	1
